Deployment,datetime,day,month,year,DPH,DPD,POD
3,14/06/2021,14,6,2021,10,1,F
3,15/06/2021,15,6,2021,5,1,F
3,16/06/2021,16,6,2021,11,1,F
3,17/06/2021,17,6,2021,8,1,F
3,18/06/2021,18,6,2021,6,1,F
3,19/06/2021,19,6,2021,3,1,F
3,20/06/2021,20,6,2021,12,1,F
3,21/06/2021,21,6,2021,3,1,F
3,22/06/2021,22,6,2021,5,1,F
3,23/06/2021,23,6,2021,2,1,F
3,24/06/2021,24,6,2021,2,1,F
3,25/06/2021,25,6,2021,5,1,F
3,26/06/2021,26,6,2021,10,1,F
3,27/06/2021,27,6,2021,8,1,F
3,28/06/2021,28,6,2021,5,1,F
3,29/06/2021,29,6,2021,6,1,F
3,30/06/2021,30,6,2021,5,1,F
3,01/07/2021,1,7,2021,9,1,F
3,02/07/2021,2,7,2021,2,1,F
3,03/07/2021,3,7,2021,5,1,F
3,04/07/2021,4,7,2021,5,1,F
3,05/07/2021,5,7,2021,2,1,F
3,06/07/2021,6,7,2021,5,1,F
3,07/07/2021,7,7,2021,4,1,F
3,08/07/2021,8,7,2021,9,1,F
3,09/07/2021,9,7,2021,8,1,F
3,10/07/2021,10,7,2021,11,1,F
3,11/07/2021,11,7,2021,15,1,F
3,12/07/2021,12,7,2021,15,1,F
3,13/07/2021,13,7,2021,15,1,F
3,14/07/2021,14,7,2021,14,1,F
4,15/07/2021,15,7,2021,15,1,F
4,16/07/2021,16,7,2021,13,1,F
4,17/07/2021,17,7,2021,7,1,F
4,18/07/2021,18,7,2021,10,1,F
4,19/07/2021,19,7,2021,9,1,F
4,20/07/2021,20,7,2021,6,1,F
4,21/07/2021,21,7,2021,5,1,F
4,22/07/2021,22,7,2021,5,1,F
4,23/07/2021,23,7,2021,17,1,F
4,24/07/2021,24,7,2021,11,1,F
4,25/07/2021,25,7,2021,4,1,F
4,26/07/2021,26,7,2021,7,1,F
4,27/07/2021,27,7,2021,8,1,F
4,28/07/2021,28,7,2021,9,1,F
4,29/07/2021,29,7,2021,16,1,F
4,30/07/2021,30,7,2021,13,1,F
4,31/07/2021,31,7,2021,5,1,F
4,01/08/2021,1,8,2021,4,1,F
4,02/08/2021,2,8,2021,2,1,F
4,03/08/2021,3,8,2021,2,1,F
4,04/08/2021,4,8,2021,0,0,F
4,05/08/2021,5,8,2021,3,1,F
4,06/08/2021,6,8,2021,3,1,F
4,07/08/2021,7,8,2021,6,1,F
4,08/08/2021,8,8,2021,17,1,F
4,09/08/2021,9,8,2021,15,1,F
4,10/08/2021,10,8,2021,15,1,F
4,11/08/2021,11,8,2021,18,1,F
4,12/08/2021,12,8,2021,7,1,F
4,13/08/2021,13,8,2021,8,1,F
4,14/08/2021,14,8,2021,10,1,F
4,15/08/2021,15,8,2021,16,1,F
4,16/08/2021,16,8,2021,12,1,F
4,17/08/2021,17,8,2021,12,1,F
4,18/08/2021,18,8,2021,17,1,F
4,19/08/2021,19,8,2021,12,1,F
4,20/08/2021,20,8,2021,13,1,F
4,21/08/2021,21,8,2021,9,1,F
4,22/08/2021,22,8,2021,21,1,F
4,23/08/2021,23,8,2021,13,1,F
4,24/08/2021,24,8,2021,18,1,F
4,25/08/2021,25,8,2021,17,1,F
4,26/08/2021,26,8,2021,9,1,F
4,27/08/2021,27,8,2021,3,1,F
4,28/08/2021,28,8,2021,9,1,F
4,29/08/2021,29,8,2021,1,1,F
4,30/08/2021,30,8,2021,6,1,F
4,31/08/2021,31,8,2021,2,1,F
4,01/09/2021,1,9,2021,2,1,F
4,02/09/2021,2,9,2021,2,1,F
4,03/09/2021,3,9,2021,3,1,F
4,04/09/2021,4,9,2021,2,1,F
4,05/09/2021,5,9,2021,1,1,F
4,06/09/2021,6,9,2021,4,1,F
4,07/09/2021,7,9,2021,3,1,F
4,08/09/2021,8,9,2021,5,1,F
4,09/09/2021,9,9,2021,4,1,F
4,10/09/2021,10,9,2021,0,0,F
4,11/09/2021,11,9,2021,3,1,F
4,12/09/2021,12,9,2021,5,1,F
4,13/09/2021,13,9,2021,4,1,F
4,14/09/2021,14,9,2021,9,1,F
4,15/09/2021,15,9,2021,3,1,F
4,16/09/2021,16,9,2021,4,1,F
4,17/09/2021,17,9,2021,2,1,F
4,18/09/2021,18,9,2021,9,1,F
4,19/09/2021,19,9,2021,11,1,F
4,20/09/2021,20,9,2021,12,1,F
4,21/09/2021,21,9,2021,15,1,F
4,22/09/2021,22,9,2021,5,1,F
4,23/09/2021,23,9,2021,1,1,F
4,24/09/2021,24,9,2021,8,1,F
4,25/09/2021,25,9,2021,6,1,F
4,26/09/2021,26,9,2021,5,1,F
4,27/09/2021,27,9,2021,4,1,F
4,28/09/2021,28,9,2021,4,1,F
4,29/09/2021,29,9,2021,3,1,F
4,30/09/2021,30,9,2021,7,1,F
4,01/10/2021,1,10,2021,5,1,F
4,02/10/2021,2,10,2021,5,1,F
4,03/10/2021,3,10,2021,5,1,F
4,04/10/2021,4,10,2021,10,1,F
4,05/10/2021,5,10,2021,4,1,F
4,06/10/2021,6,10,2021,1,1,F
4,07/10/2021,7,10,2021,8,1,F
4,08/10/2021,8,10,2021,11,1,F
4,09/10/2021,9,10,2021,10,1,F
4,10/10/2021,10,10,2021,9,1,F
4,11/10/2021,11,10,2021,11,1,F
4,12/10/2021,12,10,2021,10,1,F
4,13/10/2021,13,10,2021,9,1,F
4,14/10/2021,14,10,2021,9,1,F
4,15/10/2021,15,10,2021,3,1,F
4,16/10/2021,16,10,2021,2,1,F
4,17/10/2021,17,10,2021,5,1,F
4,18/10/2021,18,10,2021,9,1,F
4,19/10/2021,19,10,2021,15,1,F
4,20/10/2021,20,10,2021,17,1,F
4,21/10/2021,21,10,2021,10,1,F
4,22/10/2021,22,10,2021,7,1,F
4,23/10/2021,23,10,2021,3,1,F
4,24/10/2021,24,10,2021,17,1,F
4,25/10/2021,25,10,2021,8,1,F
4,26/10/2021,26,10,2021,11,1,F
4,27/10/2021,27,10,2021,5,1,F
